DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
onboarding_by_the_minute_forecast,By-the-minute forecast,By-the-minute forecast,Minutengenaue Vorhersage,Prognoza minuta po minucie,Previsão por minuto,Pronóstico del clima cada minuto,Pronóstico al minuto,Prakiraan menit per menit,Prognos minut för minut,Поминутный прогноз,Prévisions minute par minute,
onboarding_super_accurate_forecast,Super accurate rain forecast for 1 hour ahead,Super accurate rain forecast for 1 hour ahead,Hochpräzise Regenvorhersage für die nächste Stunde,Superdokładna prognoza deszczu na godzinę do przodu,Previsão super precisa de chuva para 1 hora adiante,Pronóstico de lluvia exacto con 1 hora de antelación,Pronóstico de lluvia súper preciso con 1 hora de anticipación,Prakiraan hujan super akurat untuk 1 jam ke depan,Ytterst exakt regnprognos 1 timme framåt,Сверхточный прогноз осадков на 1 час,Prévision de pluie très précise 1 heure à l'avance,
onboarding_get_forecast,Get forecast,Get forecast,Vorhersage anzeigen,Otrzymaj prognozę pogody,Obter previsão,Ver pronóstico,Obtener pronóstico,Dapatkan prakiraan,Hämta prognos,Узнать прогноз,Obtenir des prévisions,
onboarding_accept_terms_conditions,I accept Privacy Policy and Terms & Conditions,I accept Privacy Policy and Terms & Conditions,Ich akzeptiere die Datenschutzrichtlinie und die AGB,Akceptuję Politykę prywatności oraz Regulamin,Aceito a Política de Privacidade e os Termos e Condições,Acepto política de privacidad y términos y condiciones,Acepto la política de privacidad y los términos y condiciones,Saya menerima Kebijakan Privasi serta Syarat & Ketentuan,Jag accepterar Integritetspolicy och Användarvillkor,"Принимаю политику конфиденциальности, положения и условия",J'accepte la politique de confidentialité et les conditions d'utilisation,
onboarding_location_screen_title,Your location matters!,Your location matters!,Ihr Standort wird benötigt!,Twoja lokalizacja jest ważna!,Sua localização importa!,¡Tu ubicación es importante!,¡Tu ubicación importa!,Lokasi Anda penting!,Din plats är viktig!,Ваша геопозиция имеет значение!,Votre emplacement est important !,
onboarding_location_screen_description,The app needs your location to provide you with upcoming weather changes.,The app needs your location to provide you with upcoming weather changes.,"Die App benötigt Ihren Standort, um Sie über anstehende Wetterwechsel informieren zu können.","Ta aplikacja potrzebuje Twojej lokalizacji, żeby informować Cię o zbliżających się zmianach pogody.",O app precisa da sua localização para informar as próximas mudanças no tempo.,La aplicación necesita tu ubicación para notificarte sobre los cambios climáticos.,La aplicación necesita tu ubicación para proveerte con los próximos cambios climáticos.,Aplikasi membutuhkan lokasi Anda untuk menginfokan perubahan cuaca mendatang.,Appen behöver din plats för att kunna informera dig om kommande väderförändringar.,"Приложению нужна ваша геопозиция, чтобы сообщать о предстоящих изменениях погоды.",L'application a besoin de connaître votre emplacement pour vous informer des changements météorologiques à venir.,
onboarding_location_screen_action_button,Allow location,Allow location,Standortzugriff erlauben,Zezwól na dostęp do lokalizacji,Permitir localização,Acceder a ubicación,Permitir ubicación,Izinkan lokasi,Tillåt platsinformation,Разрешить доступ к геопозиции,Autoriser la localisation,
onboarding_location_screen_continue_without,Continue without allowing,Continue without allowing,Fortfahren ohne Zugriff,Kontynuuj bez pozwalania,Continuar sem permitir,Continuar sin dar acceso,Continuar sin permitir,Lanjut tanpa izinkan,Fortsätt utan att tillåta,Продолжить без разрешения,Continuer sans autoriser,
onboarding_location_permission_description,The app needs your location to provide you with upcoming weather changes.,The app needs your location to provide you with upcoming weather changes.,"Die App benötigt Ihren Standort, um Sie über anstehende Wetterwechsel informieren zu können.","Ta aplikacja potrzebuje Twojej lokalizacji, żeby informować Cię o zbliżających się zmianach pogody.",O app precisa da sua localização para informar as próximas mudanças no tempo.,La aplicación necesita tu ubicación para notificarte sobre los cambios climáticos.,La aplicación necesita tu ubicación para informarte sobre los próximos cambios climáticos.,Aplikasi membutuhkan lokasi Anda untuk menginfokan perubahan cuaca mendatang.,Appen behöver din plats för att kunna informera dig om kommande väderförändringar.,"Приложению нужна ваша геопозиция, чтобы сообщать о предстоящих изменениях погоды.",L'application a besoin de connaître votre emplacement pour vous informer des changements météorologiques à venir.,
main_tab_now,now,now,jetzt,teraz,agora,ahora,ahora,sekarang,nu,cейчас,maintenant,
